school_id,teacher_id,grade,lesson_completion_rate
416,505,Grade 1,1
416,202,Grade 2,1
416,124,Grade 3,0
416,516,Grade 4,0
416,145,Grade 5,0
792,545,Grade 1,1
792,201,Grade 2,1
792,669,Grade 3,1
792,258,Grade 4,1
792,259,Grade 5,1
5502,168,Grade 1,0
5502,565,Grade 2,0
5502,110,Grade 3,1
5502,287,Grade 4,0
5502,288,Grade 5,0
7956,332,Grade 1,1
7956,114,Grade 2,1
7956,328,Grade 3,1
7956,502,Grade 4,1
7956,628,Grade 5,1
8084,14,Grade 1,1
8084,725,Grade 2,1
8084,395,Grade 3,1
8084,12,Grade 4,1
8084,321,Grade 5,1
9342,72,Grade 1,1
9342,149,Grade 2,1
9342,672,Grade 3,0
9342,182,Grade 4,1
9342,710,Grade 5,1
10904,692,Grade 1,1
10904,544,Grade 2,1
10904,194,Grade 3,1
10904,470,Grade 4,1
10904,471,Grade 5,1
14475,421,Grade 1,0
14475,640,Grade 2,0
14475,93,Grade 3,1
14475,69,Grade 4,0
14475,642,Grade 5,1
16230,357,Grade 1,1
16230,676,Grade 2,0
16230,284,Grade 3,1
16230,390,Grade 4,0
16230,391,Grade 5,0
17404,534,Grade 1,1
17404,48,Grade 2,1
17404,313,Grade 3,1
17404,400,Grade 4,0
17404,478,Grade 5,1
20972,351,Grade 1,1
20972,377,Grade 2,1
20972,515,Grade 3,1
20972,518,Grade 4,1
20972,519,Grade 5,1
25263,121,Grade 1,1
25263,675,Grade 2,1
25263,274,Grade 3,1
25263,151,Grade 4,0
25263,152,Grade 5,0
25434,688,Grade 1,1
25434,74,Grade 2,1
25434,689,Grade 3,1
25434,600,Grade 5,1
28112,266,Grade 1,1
28112,486,Grade 2,1
28112,487,Grade 3,1
28112,22,Grade 4,0
28112,445,Grade 5,0
28860,407,Grade 1,1
28860,282,Grade 2,1
28860,209,Grade 3,1
28860,554,Grade 4,1
28860,210,Grade 5,0
30690,117,Grade 1,0
30690,211,Grade 2,0
30690,125,Grade 3,0
30690,559,Grade 4,0
30690,560,Grade 5,0
32940,319,Grade 2,0
32940,432,Grade 3,0
32940,598,Grade 5,0
34092,324,Grade 1,0
34092,496,Grade 2,1
34092,497,Grade 3,0
34092,262,Grade 4,0
34092,263,Grade 5,1
34675,81,Grade 1,1
34675,529,Grade 2,1
34675,599,Grade 3,1
34675,708,Grade 4,1
34675,709,Grade 5,1
35175,633,Grade 1,1
35175,223,Grade 2,1
35175,490,Grade 3,0
35175,173,Grade 4,0
35175,174,Grade 5,0
36848,247,Grade 1,1
36848,666,Grade 2,1
36848,92,Grade 3,1
36848,260,Grade 4,0
36848,261,Grade 5,1
39078,563,Grade 1,0
39078,604,Grade 2,1
39078,66,Grade 3,1
39078,745,Grade 4,0
39078,566,Grade 5,0
40580,27,Grade 1,1
40580,613,Grade 2,1
40580,234,Grade 3,1
40580,339,Grade 4,0
40580,197,Grade 5,1
42240,133,Grade 1,1
42240,444,Grade 2,1
42240,278,Grade 3,1
42240,374,Grade 4,0
42240,375,Grade 5,0
46528,231,Grade 1,1
46528,138,Grade 2,1
46528,572,Grade 3,0
46528,525,Grade 4,0
46528,526,Grade 5,0
46684,116,Grade 1,1
46684,674,Grade 2,1
46684,399,Grade 3,1
46684,738,Grade 4,0
46684,739,Grade 5,1
47025,159,Grade 1,1
47025,522,Grade 2,1
47025,154,Grade 3,1
47025,451,Grade 4,1
47025,452,Grade 5,1
49404,207,Grade 1,0
49404,322,Grade 2,1
49404,265,Grade 3,1
49404,735,Grade 4,0
49404,134,Grade 5,1
49698,668,Grade 1,1
49698,731,Grade 2,1
49698,312,Grade 3,1
49698,456,Grade 4,0
49698,49,Grade 5,1
53103,671,Grade 1,1
53103,8,Grade 2,1
53103,527,Grade 3,1
53103,435,Grade 4,1
53103,436,Grade 5,1
55770,30,Grade 1,1
55770,402,Grade 2,1
55770,547,Grade 3,1
55770,96,Grade 4,0
55770,97,Grade 5,1
56406,610,Grade 1,1
56406,649,Grade 2,1
56406,549,Grade 3,0
56406,550,Grade 4,0
56406,551,Grade 5,1
56803,4,Grade 1,0
56803,235,Grade 2,1
56803,52,Grade 3,1
56803,54,Grade 4,1
56803,55,Grade 5,1
65520,21,Grade 1,0
65520,350,Grade 2,1
65520,20,Grade 3,1
65520,462,Grade 4,0
