school_id,pupil_id,grade,attendance_records,present_records
35175,1,Grade 1,91,69
40580,7,Grade 2,92,86
9342,8,Grade 5,43,39
858450,10,Grade 5,86,62
792,13,Grade 3,104,81
324884,14,Grade 4,90,67
230373,16,Grade 3,81,65
958934,18,Grade 4,90,80
359640,27,Grade 3,97,77
359640,34,Grade 4,85,59
297076,38,Grade 4,65,42
49698,39,Grade 1,99,82
323877,41,Grade 5,43,37
9342,42,Grade 3,59,50
575416,46,Grade 4,62,60
601798,53,Grade 3,99,85
155343,55,Grade 3,88,62
8084,57,Grade 2,102,88
323877,65,Grade 3,102,96
28860,66,Grade 1,102,65
10904,67,Grade 1,75,63
388800,69,Grade 4,83,69
607904,70,Grade 2,81,75
156096,73,Grade 5,40,35
259688,76,Grade 4,42,23
73360,79,Grade 5,100,61
14475,81,Grade 3,97,59
501872,82,Grade 3,69,48
489918,83,Grade 1,102,88
223941,89,Grade 4,63,55
36848,91,Grade 5,100,78
40580,94,Grade 5,100,89
583940,95,Grade 5,97,75
28112,97,Grade 1,71,59
16230,99,Grade 3,105,96
32940,100,Grade 2,61,49
286984,101,Grade 3,59,42
628537,103,Grade 2,86,56
581940,104,Grade 2,107,86
425124,105,Grade 1,94,85
196896,108,Grade 1,94,77
112034,109,Grade 2,92,88
356775,110,Grade 1,55,44
230373,111,Grade 3,81,36
56406,112,Grade 3,46,41
7956,115,Grade 1,96,89
166905,118,Grade 3,75,51
155343,119,Grade 4,98,65
425124,122,Grade 4,91,57
196896,123,Grade 1,94,65
257904,124,Grade 3,87,81
108210,125,Grade 2,93,34
49698,127,Grade 2,84,59
388800,128,Grade 2,82,69
73360,132,Grade 3,96,84
56803,137,Grade 1,100,96
155343,138,Grade 2,47,46
156096,142,Grade 4,84,61
259688,143,Grade 4,98,81
223941,144,Grade 3,74,58
401280,149,Grade 1,95,63
30690,151,Grade 2,61,20
419336,155,Grade 1,103,89
56803,157,Grade 3,67,22
401898,158,Grade 2,90,81
958934,159,Grade 5,95,82
88122,160,Grade 5,99,91
49698,164,Grade 2,84,79
963352,165,Grade 2,109,74
196896,166,Grade 2,95,80
56803,168,Grade 2,84,80
112034,170,Grade 4,104,87
403506,172,Grade 3,92,84
239870,173,Grade 1,94,25
963352,174,Grade 3,108,88
34675,176,Grade 4,45,34
257904,177,Grade 2,94,86
8084,183,Grade 3,105,71
687400,185,Grade 4,101,92
388800,186,Grade 4,83,63
363280,188,Grade 2,96,92
314160,189,Grade 4,43,39
792,190,Grade 1,95,75
20972,194,Grade 1,103,63
628537,197,Grade 3,88,79
34092,198,Grade 5,41,29
616880,199,Grade 3,29,14
56803,200,Grade 3,43,42
388800,207,Grade 1,66,19
28860,208,Grade 1,102,92
30690,210,Grade 1,77,59
34092,211,Grade 2,31,11
10904,212,Grade 3,100,90
226128,215,Grade 5,86,55
88122,243,Grade 2,97,63
419336,246,Grade 2,90,53
156096,247,Grade 3,94,89
324884,248,Grade 3,77,26
759451,251,Grade 2,49,18
792,253,Grade 5,99,61
858450,256,Grade 5,86,60
958934,258,Grade 1,100,67
47025,259,Grade 2,101,88
10904,260,Grade 3,80,42
991980,261,Grade 3,85,79
958934,263,Grade 3,97,91
581940,264,Grade 1,98,83
423500,265,Grade 4,50,39
201569,267,Grade 4,102,87
35175,268,Grade 5,55,43
175100,269,Grade 2,80,69
687400,270,Grade 2,100,77
323877,274,Grade 2,45,29
42240,275,Grade 5,104,94
56406,276,Grade 4,66,56
273888,281,Grade 5,84,19
25263,283,Grade 5,78,75
226128,284,Grade 2,97,59
88122,287,Grade 2,102,48
75848,288,Grade 5,98,91
34675,289,Grade 2,96,74
223941,292,Grade 3,74,60
609982,294,Grade 5,99,67
28112,296,Grade 3,84,62
39078,300,Grade 3,91,80
324884,302,Grade 2,69,64
759451,305,Grade 3,20,18
489918,306,Grade 4,44,10
25263,307,Grade 5,76,76
34675,308,Grade 2,98,71
609982,309,Grade 2,80,75
56406,310,Grade 3,46,39
108210,315,Grade 5,96,80
25263,317,Grade 1,92,77
173720,318,Grade 1,91,72
230373,321,Grade 2,101,65
822894,323,Grade 2,92,77
7956,326,Grade 1,96,93
206948,328,Grade 1,102,49
324884,336,Grade 1,83,47
447445,337,Grade 5,39,38
401898,341,Grade 4,49,44
609982,342,Grade 4,93,69
416,344,Grade 2,85,77
136992,345,Grade 3,99,70
156096,350,Grade 2,94,87
196896,351,Grade 1,94,64
39078,352,Grade 2,89,88
864156,353,Grade 1,100,56
416,354,Grade 2,102,90
28860,355,Grade 5,26,24
401898,356,Grade 4,73,59
324884,358,Grade 2,69,22
286984,359,Grade 3,59,53
401280,361,Grade 2,96,49
314160,363,Grade 1,100,67
166905,364,Grade 4,74,66
401280,366,Grade 5,93,78
49404,367,Grade 1,93,43
112034,368,Grade 2,101,74
8084,371,Grade 1,107,81
65520,372,Grade 5,85,57
359640,373,Grade 3,91,61
201569,374,Grade 5,96,64
592421,375,Grade 3,104,55
403506,380,Grade 2,82,49
196896,382,Grade 1,94,58
196896,384,Grade 5,91,66
8084,385,Grade 4,86,53
223941,387,Grade 2,97,85
165300,391,Grade 3,99,62
230373,392,Grade 3,81,67
264915,393,Grade 1,102,74
609982,395,Grade 4,93,81
581940,398,Grade 1,98,76
168804,399,Grade 1,83,57
108210,400,Grade 2,93,60
323877,404,Grade 5,94,53
223545,405,Grade 2,85,66
363280,407,Grade 4,75,61
56406,408,Grade 4,38,38
326599,410,Grade 1,103,87
8084,412,Grade 1,101,61
423500,415,Grade 1,96,51
273888,420,Grade 2,70,55
16230,421,Grade 2,87,58
55770,424,Grade 3,95,76
65520,427,Grade 1,69,43
118338,428,Grade 5,88,75
423500,430,Grade 5,87,46
314160,431,Grade 5,34,22
25263,432,Grade 4,89,70
563568,435,Grade 2,90,46
34675,436,Grade 3,100,65
583940,439,Grade 5,97,76
56803,440,Grade 4,98,88
17404,443,Grade 2,91,86
388800,444,Grade 1,72,55
201569,449,Grade 4,102,75
447445,452,Grade 5,79,66
297076,453,Grade 1,68,49
616880,458,Grade 3,29,24
759451,460,Grade 4,32,31
581940,461,Grade 2,107,90
329344,462,Grade 4,100,78
297076,463,Grade 2,80,72
55770,464,Grade 4,41,37
28112,465,Grade 5,45,39
363280,467,Grade 4,75,46
123695,469,Grade 3,81,67
406350,470,Grade 4,99,94
34092,472,Grade 2,42,9
14475,474,Grade 3,78,75
581940,475,Grade 3,105,88
447445,476,Grade 4,38,38
39078,478,Grade 3,91,87
356775,479,Grade 1,55,51
49698,480,Grade 2,84,72
687400,481,Grade 5,100,100
32940,485,Grade 5,81,38
581940,487,Grade 2,107,88
49404,488,Grade 4,91,54
326599,490,Grade 5,105,91
909600,491,Grade 3,108,59
646056,493,Grade 2,76,52
592421,496,Grade 3,104,76
49404,497,Grade 3,100,95
324884,499,Grade 2,69,55
173720,500,Grade 5,99,67
304425,504,Grade 2,95,94
501872,506,Grade 2,32,15
175100,507,Grade 4,82,71
403506,509,Grade 4,89,89
175100,510,Grade 4,69,48
792,511,Grade 2,96,65
628537,512,Grade 3,88,58
326599,513,Grade 2,99,69
108210,514,Grade 4,93,60
56406,517,Grade 1,44,39
223941,518,Grade 1,70,52
56803,524,Grade 4,98,88
53103,525,Grade 2,102,84
40580,526,Grade 4,99,78
36848,527,Grade 1,80,31
46528,528,Grade 1,106,94
65520,529,Grade 1,69,62
88122,531,Grade 2,97,85
49404,533,Grade 3,100,73
963352,536,Grade 4,46,34
283971,537,Grade 4,38,30
14475,540,Grade 3,97,79
49404,541,Grade 3,100,85
609982,543,Grade 3,49,48
304425,546,Grade 1,90,85
42240,548,Grade 1,101,77
609982,549,Grade 3,106,86
425124,550,Grade 4,81,78
324884,552,Grade 3,77,64
628537,553,Grade 1,101,77
403506,555,Grade 2,82,43
581940,557,Grade 2,107,78
28860,558,Grade 3,99,63
223545,559,Grade 2,85,69
403506,561,Grade 3,92,75
259688,562,Grade 1,103,84
75848,563,Grade 3,98,64
909600,564,Grade 5,102,71
