school_id,pupil_id,grade,subject,score
35175,1,Grade 1,Fluency,65
35175,1,Grade 1,Kiswahili,1
35175,1,Grade 1,Math,1
40580,7,Grade 2,Math,1
40580,7,Grade 2,Kiswahili,1
40580,7,Grade 2,Fluency,117
9342,8,Grade 5,Kiswahili,1
9342,8,Grade 5,Math,1
9342,8,Grade 5,Fluency,144
858450,10,Grade 5,Fluency,211
858450,10,Grade 5,Kiswahili,1
858450,10,Grade 5,Math,1
792,13,Grade 3,Fluency,221
792,13,Grade 3,Math,1
792,13,Grade 3,Kiswahili,1
324884,14,Grade 4,Kiswahili,1
324884,14,Grade 4,Math,1
324884,14,Grade 4,Fluency,267
230373,16,Grade 3,Fluency,143
230373,16,Grade 3,Math,1
230373,16,Grade 3,Kiswahili,1
958934,18,Grade 4,Math,0
958934,18,Grade 4,Kiswahili,0
958934,18,Grade 4,Fluency,0
359640,27,Grade 3,Math,1
359640,27,Grade 3,Fluency,130
359640,27,Grade 3,Kiswahili,1
359640,34,Grade 4,Math,0
359640,34,Grade 4,Kiswahili,1
359640,34,Grade 4,Fluency,26
297076,38,Grade 4,Fluency,58
297076,38,Grade 4,Kiswahili,1
297076,38,Grade 4,Math,0
49698,39,Grade 1,Fluency,60
49698,39,Grade 1,Kiswahili,1
49698,39,Grade 1,Math,1
323877,41,Grade 5,Fluency,131
323877,41,Grade 5,Kiswahili,1
323877,41,Grade 5,Math,1
9342,42,Grade 3,Math,1
9342,42,Grade 3,Fluency,150
9342,42,Grade 3,Kiswahili,1
575416,46,Grade 4,Math,0
575416,46,Grade 4,Kiswahili,0
575416,46,Grade 4,Fluency,57
601798,53,Grade 3,Kiswahili,1
601798,53,Grade 3,Math,1
601798,53,Grade 3,Fluency,109
155343,55,Grade 3,Math,1
155343,55,Grade 3,Fluency,86
155343,55,Grade 3,Kiswahili,1
8084,57,Grade 2,Fluency,55
8084,57,Grade 2,Kiswahili,1
8084,57,Grade 2,Math,1
323877,65,Grade 3,Math,1
323877,65,Grade 3,Fluency,143
323877,65,Grade 3,Kiswahili,1
28860,66,Grade 1,Math,1
28860,66,Grade 1,Fluency,32
28860,66,Grade 1,Kiswahili,0
10904,67,Grade 1,Kiswahili,1
10904,67,Grade 1,Fluency,74
10904,67,Grade 1,Math,1
388800,69,Grade 4,Fluency,79
388800,69,Grade 4,Kiswahili,1
388800,69,Grade 4,Math,1
607904,70,Grade 2,Math,1
607904,70,Grade 2,Kiswahili,1
607904,70,Grade 2,Fluency,63
156096,73,Grade 5,Fluency,221
156096,73,Grade 5,Math,1
156096,73,Grade 5,Kiswahili,1
259688,76,Grade 4,Fluency,231
259688,76,Grade 4,Math,1
259688,76,Grade 4,Kiswahili,1
73360,79,Grade 5,Kiswahili,1
73360,79,Grade 5,Math,0
73360,79,Grade 5,Fluency,30
14475,81,Grade 3,Fluency,225
14475,81,Grade 3,Kiswahili,1
14475,81,Grade 3,Math,1
501872,82,Grade 3,Math,1
501872,82,Grade 3,Fluency,59
501872,82,Grade 3,Kiswahili,1
